Cast Vote Record,Precinct,Ballot Style,"AUTHORIZING THE TOWN OF SCITUATE TO ISSUE GENERAL OBLIGATION BONDS IN AN AMOUNT NOT TO EXCEED $1,700,000 TO FINANCE A NEW POLICE STATION"
2,Precinct 3001,Precinct 3001,Reject
3,Precinct 3001,Precinct 3001,Approve
4,Precinct 3001,Precinct 3001,Approve
5,Precinct 3002,Precinct 3002,Approve
6,Precinct 3003,Precinct 3003,Approve
7,Precinct 3002,Precinct 3002,Approve
8,Precinct 3002,Precinct 3002,Approve
9,Precinct 3002,Precinct 3002,Approve
10,Precinct 3001,Precinct 3001,Reject
11,Precinct 3002,Precinct 3002,Reject
12,Precinct 3001,Precinct 3001,Approve
13,Precinct 3002,Precinct 3002,Approve
14,Precinct 3001,Precinct 3001,Approve
15,Precinct 3002,Precinct 3002,Approve
16,Precinct 3001,Precinct 3001,Approve
17,Precinct 3003,Precinct 3003,Approve
18,Precinct 3002,Precinct 3002,Approve
19,Precinct 3001,Precinct 3001,Approve
20,Precinct 3003,Precinct 3003,Reject
21,Precinct 3001,Precinct 3001,Approve
22,Precinct 3001,Precinct 3001,Approve
23,Precinct 3002,Precinct 3002,Reject
24,Precinct 3002,Precinct 3002,Approve
25,Precinct 3001,Precinct 3001,Approve
26,Precinct 3003,Precinct 3003,Approve
27,Precinct 3002,Precinct 3002,Approve
28,Precinct 3002,Precinct 3002,Approve
29,Precinct 3002,Precinct 3002,Approve
30,Precinct 3001,Precinct 3001,Reject
31,Precinct 3001,Precinct 3001,Reject
32,Precinct 3002,Precinct 3002,Approve
33,Precinct 3002,Precinct 3002,Approve
34,Precinct 3001,Precinct 3001,Approve
35,Precinct 3001,Precinct 3001,Approve
36,Precinct 3001,Precinct 3001,Reject
37,Precinct 3001,Precinct 3001,Approve
38,Precinct 3001,Precinct 3001,Approve
39,Precinct 3002,Precinct 3002,Approve
40,Precinct 3003,Precinct 3003,Approve
41,Precinct 3002,Precinct 3002,Approve
42,Precinct 3002,Precinct 3002,Approve
43,Precinct 3003,Precinct 3003,Approve
44,Precinct 3002,Precinct 3002,Approve
45,Precinct 3002,Precinct 3002,Approve
46,Precinct 3002,Precinct 3002,Approve
47,Precinct 3003,Precinct 3003,Approve
48,Precinct 3001,Precinct 3001,Approve
49,Precinct 3002,Precinct 3002,Approve
50,Precinct 3002,Precinct 3002,Approve
51,Precinct 3001,Precinct 3001,Approve
52,Precinct 3001,Precinct 3001,Approve
53,Precinct 3003,Precinct 3003,Reject
54,Precinct 3003,Precinct 3003,Approve
55,Precinct 3002,Precinct 3002,Approve
56,Precinct 3001,Precinct 3001,Reject
57,Precinct 3003,Precinct 3003,Approve
58,Precinct 3003,Precinct 3003,Approve
59,Precinct 3002,Precinct 3002,Approve
60,Precinct 3002,Precinct 3002,Approve
61,Precinct 3003,Precinct 3003,Approve
62,Precinct 3002,Precinct 3002,Approve
63,Precinct 3001,Precinct 3001,Approve
64,Precinct 3002,Precinct 3002,Reject
65,Precinct 3001,Precinct 3001,Approve
66,Precinct 3001,Precinct 3001,Approve
67,Precinct 3001,Precinct 3001,Approve
68,Precinct 3002,Precinct 3002,Approve
69,Precinct 3001,Precinct 3001,Approve
70,Precinct 3002,Precinct 3002,Approve
71,Precinct 3002,Precinct 3002,Approve
72,Precinct 3001,Precinct 3001,Approve
73,Precinct 3001,Precinct 3001,Approve
74,Precinct 3001,Precinct 3001,Approve
75,Precinct 3002,Precinct 3002,Approve
76,Precinct 3003,Precinct 3003,Reject
77,Precinct 3001,Precinct 3001,Approve
78,Precinct 3001,Precinct 3001,Approve
79,Precinct 3003,Precinct 3003,Approve
80,Precinct 3002,Precinct 3002,Approve
81,Precinct 3001,Precinct 3001,Approve
82,Precinct 3001,Precinct 3001,Approve
83,Precinct 3001,Precinct 3001,Reject
84,Precinct 3001,Precinct 3001,Approve
85,Precinct 3003,Precinct 3003,Approve
86,Precinct 3001,Precinct 3001,Reject
87,Precinct 3001,Precinct 3001,Approve
88,Precinct 3002,Precinct 3002,Approve
89,Precinct 3003,Precinct 3003,Approve
90,Precinct 3003,Precinct 3003,Approve
91,Precinct 3002,Precinct 3002,Approve
92,Precinct 3003,Precinct 3003,Reject
93,Precinct 3002,Precinct 3002,Approve
94,Precinct 3001,Precinct 3001,Approve
95,Precinct 3003,Precinct 3003,Reject
96,Precinct 3001,Precinct 3001,Approve
97,Precinct 3003,Precinct 3003,Approve
98,Precinct 3002,Precinct 3002,Approve
99,Precinct 3001,Precinct 3001,Approve
100,Precinct 3002,Precinct 3002,Reject
101,Precinct 3003,Precinct 3003,Approve
102,Precinct 3003,Precinct 3003,Approve
103,Precinct 3002,Precinct 3002,Approve
104,Precinct 3003,Precinct 3003,Approve
105,Precinct 3001,Precinct 3001,Reject
106,Precinct 3002,Precinct 3002,Approve
107,Precinct 3003,Precinct 3003,Approve
108,Precinct 3002,Precinct 3002,Approve
109,Precinct 3002,Precinct 3002,Approve
110,Precinct 3003,Precinct 3003,Approve
111,Precinct 3002,Precinct 3002,Approve
112,Precinct 3003,Precinct 3003,Reject
113,Precinct 3003,Precinct 3003,Approve
114,Precinct 3003,Precinct 3003,Approve
115,Precinct 3001,Precinct 3001,Reject
116,Precinct 3001,Precinct 3001,Approve
117,Precinct 3001,Precinct 3001,Approve
118,Precinct 3001,Precinct 3001,Reject
119,Precinct 3001,Precinct 3001,Approve
120,Precinct 3003,Precinct 3003,Approve
121,Precinct 3003,Precinct 3003,Approve
122,Precinct 3002,Precinct 3002,Approve
123,Precinct 3002,Precinct 3002,Approve
124,Precinct 3002,Precinct 3002,Approve
125,Precinct 3001,Precinct 3001,Approve
126,Precinct 3002,Precinct 3002,Approve
127,Precinct 3002,Precinct 3002,Approve
128,Precinct 3003,Precinct 3003,Approve
129,Precinct 3002,Precinct 3002,Approve
130,Precinct 3001,Precinct 3001,Approve
131,Precinct 3003,Precinct 3003,Reject
132,Precinct 3001,Precinct 3001,Approve
133,Precinct 3002,Precinct 3002,Approve
134,Precinct 3001,Precinct 3001,Reject
135,Precinct 3001,Precinct 3001,Approve
136,Precinct 3001,Precinct 3001,Approve
137,Precinct 3002,Precinct 3002,Reject
138,Precinct 3001,Precinct 3001,Approve
139,Precinct 3003,Precinct 3003,Approve
140,Precinct 3001,Precinct 3001,Approve
141,Precinct 3001,Precinct 3001,Approve
142,Precinct 3001,Precinct 3001,Approve
143,Precinct 3003,Precinct 3003,Approve
144,Precinct 3001,Precinct 3001,Approve
145,Precinct 3001,Precinct 3001,Approve
146,Precinct 3003,Precinct 3003,Reject
147,Precinct 3001,Precinct 3001,Approve
148,Precinct 3002,Precinct 3002,Approve
149,Precinct 3002,Precinct 3002,Approve
150,Precinct 3001,Precinct 3001,Approve
151,Precinct 3003,Precinct 3003,Approve
152,Precinct 3001,Precinct 3001,Approve
153,Precinct 3001,Precinct 3001,Approve
154,Precinct 3003,Precinct 3003,Approve
155,Precinct 3002,Precinct 3002,Approve
156,Precinct 3001,Precinct 3001,Approve
157,Precinct 3002,Precinct 3002,Approve
158,Precinct 3003,Precinct 3003,Approve
159,Precinct 3002,Precinct 3002,Approve
160,Precinct 3002,Precinct 3002,Approve
161,Precinct 3001,Precinct 3001,Approve
162,Precinct 3001,Precinct 3001,Approve
163,Precinct 3002,Precinct 3002,Approve
164,Precinct 3003,Precinct 3003,Reject
165,Precinct 3001,Precinct 3001,Reject
166,Precinct 3002,Precinct 3002,Approve
167,Precinct 3003,Precinct 3003,Approve
168,Precinct 3001,Precinct 3001,Approve
169,Precinct 3001,Precinct 3001,Approve
170,Precinct 3001,Precinct 3001,Approve
171,Precinct 3002,Precinct 3002,Approve
172,Precinct 3003,Precinct 3003,Approve
173,Precinct 3001,Precinct 3001,Reject
174,Precinct 3003,Precinct 3003,Approve
175,Precinct 3003,Precinct 3003,Approve
176,Precinct 3001,Precinct 3001,Approve
177,Precinct 3003,Precinct 3003,Approve
178,Precinct 3002,Precinct 3002,Approve
179,Precinct 3002,Precinct 3002,Approve
180,Precinct 3001,Precinct 3001,Reject
181,Precinct 3002,Precinct 3002,Approve
182,Precinct 3003,Precinct 3003,Reject
183,Precinct 3003,Precinct 3003,Approve
184,Precinct 3002,Precinct 3002,Reject
185,Precinct 3001,Precinct 3001,Approve
186,Precinct 3002,Precinct 3002,Reject
187,Precinct 3002,Precinct 3002,Approve
188,Precinct 3002,Precinct 3002,Approve
189,Precinct 3001,Precinct 3001,Approve
190,Precinct 3003,Precinct 3003,Approve
191,Precinct 3002,Precinct 3002,Approve
192,Precinct 3002,Precinct 3002,Approve
193,Precinct 3002,Precinct 3002,Approve
194,Precinct 3003,Precinct 3003,Approve
195,Precinct 3002,Precinct 3002,Approve
196,Precinct 3003,Precinct 3003,Reject
197,Precinct 3001,Precinct 3001,Reject
198,Precinct 3001,Precinct 3001,Approve
199,Precinct 3003,Precinct 3003,Approve
200,Precinct 3001,Precinct 3001,Approve
201,Precinct 3001,Precinct 3001,Approve
202,Precinct 3003,Precinct 3003,Approve
203,Precinct 3002,Precinct 3002,Approve
204,Precinct 3002,Precinct 3002,Reject
205,Precinct 3003,Precinct 3003,Approve
206,Precinct 3001,Precinct 3001,Approve
207,Precinct 3003,Precinct 3003,Reject
208,Precinct 3002,Precinct 3002,Approve
209,Precinct 3001,Precinct 3001,Approve
210,Precinct 3001,Precinct 3001,Approve
211,Precinct 3002,Precinct 3002,Approve
212,Precinct 3001,Precinct 3001,Reject
213,Precinct 3003,Precinct 3003,Approve
214,Precinct 3003,Precinct 3003,Approve
215,Precinct 3002,Precinct 3002,Approve
216,Precinct 3003,Precinct 3003,Reject
217,Precinct 3002,Precinct 3002,Approve
218,Precinct 3001,Precinct 3001,Approve
219,Precinct 3003,Precinct 3003,Approve
220,Precinct 3001,Precinct 3001,Approve
221,Precinct 3001,Precinct 3001,Approve
222,Precinct 3003,Precinct 3003,Reject
223,Precinct 3001,Precinct 3001,Approve
224,Precinct 3002,Precinct 3002,Approve
225,Precinct 3003,Precinct 3003,Approve
226,Precinct 3002,Precinct 3002,Reject
227,Precinct 3002,Precinct 3002,Approve
228,Precinct 3001,Precinct 3001,Reject
